name,website,companyLogo,description,funding,founded,headquarteredIn,geographicalFocus,typeOfWork,category,requiresDigitalAudience,applicationRequired,remoteWork,minimumAge,equipmentQualSkills,requirements,averageEarnings,timeToFirstDollar,numPeopleMakingMoney,profitModel,profitModelDescription,platformPricing,affiliateLink,founderMessage,founderName,founderTwitter,email,Notes,Signup Link
Bravado,Bravado.co,logo_dark_big.png (https://dl.airtable.com/.attachments/6f481d827161914c65c71853ca777e25/51438c6c/logo_dark_big.png),Get paid to leverage your professional network.,$12M,2017,"San Francisco, CA",North America,Salesperson,Other,No,Yes,Yes,18,"Smartphone (with data),Computer (with internet connection)",3+ years of experience in sales,1000,14,50,Percentage Take Rate,10,,,,,,nancy@bravado.co,,
Depop,https://www.depop.com/sell-on-depop/,,Sell clothes. Make money. It's simple to get started. Build your empire now.,$62M,2011,"London, England","North America, Europe, Australia",Reseller,SMB (creation of a business),"No, however one would be helpful",No,Yes,18,Smartphone (with data),,,,13000000,Percentage Take Rate,10,,,,,,astrid.adam@depop.com,,
Superpeer,https://superpeer.com/,,Superpeer gives you the tools you need to have paid 1:1 video calls and livestreams with your audience and paid subscribers.,$8M,2020,,,"Coach, Livestreamer",SMB (creation of a business),Yes,Yes,Yes,21,"Computer (with internet connection),Smartphone (with data)",Webcam,500,,10,Percentage Take Rate,3,,,,,,,,
SuperFit,https://superfitapp.com,logo_yellow.jpg (https://dl.airtable.com/.attachments/31f16cc54a5476951658b4fab3ac5a38/7029c33b/logo_yellow.jpg),"With SuperFit, instructors can create workout schedules that make money from paid memberships. You can monetize in several ways. Typically, trainers start with their existing client base and provide remote workout schedules with weekly checkins. For more experienced instructors with general video editing experience (YouTube, frequent IG creator), one can host full-length workout videos on SuperFit and offer a subscription for full-catalog access.",Bootstrapped,2018,,,Fitness Instructor,SMB (creation of a business),Yes,No,Yes,,Smartphone (with data),"You must be a certified fitness professional or experience programming workouts in your fitness expertise, general experience with creating workout clips",,,,Other,,2% fee + Stripe's 2.9% + $0.30 per transaction,,,,,,,
Lawn Love,https://lawnlove.com,E5BDE81F-16A2-4B07-970D-BF06D09294DD.png (https://dl.airtable.com/.attachments/bce0cabae67b660b576f9945fe12b265/a10f2388/E5BDE81F-16A2-4B07-970D-BF06D09294DD.png),Lawn mowing and landscaping for residential homes,Bootstrapped,2014,,North America,Tasks and Services,Gig (work on your time),No,Yes,No,18,,"Lawn mower, edger, clippers, a car or truck, mobile phone",4000,,10000,Percentage Take Rate,15,,,"""It’s simple, the lawn care industry is outdated. Homeowners don’t know where to find quality, reliable lawn care, and lawn care providers are still planning their routes on whiteboards and spending more time driving between jobs than actually mowing lawns. Our mission is to build a smarter lawn care marketplace. In doing so, we can provide customers with a more modern, streamlined experience, while also helping our partner lawn pros operate more efficiently, leverage technology, and thrive.""",Jeremy Yamaguchi,https://twitter.com/jeremyyamaguchi,,,
Introwise,https://introwise.com,Introwise - Logo Peach.png (https://dl.airtable.com/.attachments/bd36a28c047a61a3dae16132f551d93e/307fdde8/Introwise-LogoPeach.png),Coaching and knowledge sharing with paid 1-1 and group calls,Bootstrapped,2020,,,Coach,SMB (creation of a business),"No, however one would be helpful",No,Yes,,"Computer (with internet connection), Microphone",,600,,,Other,,9.8% commission OR $39/month,,,,,,,
Venue,https://www.venue.live/,Untitled design (1).png (https://dl.airtable.com/.attachments/581e1c465aa82cfd37e19344d523bcb0/76dc604f/Untitleddesign1.png),"Engage your audience with live interactive video events and earn money through ticket sales, subscriptions, brand partnerships, and more.",Boostrapped,2020,,,Livestreamer,SMB (creation of a business),Yes,Yes,Yes,,"Computer (with internet connection), Microphone","Webcam, you can also use more sophisticated broadcast tools like OBS, StreamLabs, or any tool that supports a custom RTMP destination",,,,Other,,"Early access pricing is $1 per attendee hour. If 100 people join your stream for 1 hour, that's $100.",,,,,,,
Offsiter,Offsiter.com,CircularOffsiter.png (https://dl.airtable.com/.attachments/8d15da831a0ba809d4a6f48b2335a715/0005032d/CircularOffsiter.png),Apply your craft to helping teams and companies perform better together and build company culture.,,2017,,,Event Organizer,Gig (work on your time),No,No,Yes,,Computer (with internet connection),"Ability to deliver experiences virtually, and in person (eventually).",,,,Percentage Take Rate,10,,,,,,,,
Studiotime,www.studiotime.io,Studiotime (TM) Logo.jpg (https://dl.airtable.com/.attachments/d69a8c0f5a9b16136fa491943f6f3dbb/58e42afc/StudiotimeTMLogo.jpg),"Rent your studio (or book one as a creator). Airbnb for music studios and lots of studios & individuals offering audio services. Also, lot of creators using to connect with providers. ",Bootstrapped,2017,,,Rentals,Rentals,No,No,No,,"Computer (with internet connection),Smartphone (with data)",Studio to rent,500,,1000,Subscription Fee,20,,,,,,,,
Curated,www.curated.com,Curated Logo.jpg (https://dl.airtable.com/.attachments/04acb33e21f30ab3d1b9194c6ef9c2b1/d6c10de3/CuratedLogo.jpg),"Get paired with online shoppers looking for outdoor sports gear to learn about the shoppers' needs and offer personalized product recommendations.

",$27M,2017,,,Personal Shopper,Gig (work on your time),No,Yes,Yes,,Computer (with internet connection),"Expert knowledge of an outdoor sport category (Ski, Snowboard, Golf, Cycling, Fly Fishing, Camping, Hiking)",1500,,1000,Free,,"Get paid for customer engagement, commission, and tips",,,,,,,
Capiche FM,https://capiche.fm,placeholder_img-f9d48b0d50259c6c16313948c14b52748bce475e8fdffdb88050c4c13f52bd64.png (https://dl.airtable.com/.attachments/2ac0a81e2aa7d7f48e5edfd88d52bd33/b18f877e/placeholder_img-f9d48b0d50259c6c16313948c14b52748bce475e8fdffdb88050c4c13f52bd64.png),"Capiche FM is a platform where anyone can host live, interactive audio shows. It's like Twitch for audio!",$1.1M,2020,,,Audio Content Creator,Creator (monetize audience and fans),No,No,Yes,,Smartphone (with data),,,,,Percentage Take Rate,10,,,,,,,,
"Vansanity, Inc",https://vansanity.com/,"Vansanity.svg (https://dl.airtable.com/.attachments/002f82c9b8daef2d11716877fa2b1e57/3934980e/Vansanity.svg),Vansanity.pdf (https://dl.airtable.com/.attachments/48b72c00bb004d79706052d8045fe54f/a749036a/Vansanity.pdf)","A ""cloud med spa."" Practitioners bring their clients and their expertise; Vansanity provides or helps with everything else, infrastructure, products, marketing, securing insurance, medical director, etc. ",$2.3M,2018,,,Health,SMB (creation of a business),Yes,No,No,,Computer (with internet connection),"Trained medical aesthetics practitioner, Clients",3000,,22,Subscription Fee,99,,,,,,,,
Macro Mentors,www.macromentors.com,Screenshot 2020-12-03 at 18.42.27.png (https://dl.airtable.com/.attachments/9317d81c43fe1120a3012bc6805cc2e1/4a95914e/Screenshot2020-12-03at18.42.27.png),Mentorship for the finance ecosystem. Mentees apply to a specific area of interest and are then matched with a potential mentor that can best help them reach their goals. ,,2020,,,Coach,Gig (work on your time),No,Yes,Yes,,Computer (with internet connection),A background in finance,2000,,,,,,,,,,,,
OnlyFans,Onlyfans.com,,"A place where content creators can earn money from fans who subscribe to their content. It is popular with sex workers but also hosts content creators from other genres such as physical fitness experts, musicians, and other creators.",Bootstrapped,2016,,,Adult Content Creator,Creator (monetize audience and fans),Yes,No,Yes,18,Smartphone (with data),,180,,1000000,Percentage Take Rate,20,,,,,,,,
Avocado,http://avocadoaudio.com,avocado audio logo green.png (https://dl.airtable.com/.attachments/cba3e353e161b71aa41b0fe6461459e4/abbbd3b5/avocadoaudiologogreen.png),"Sell audio courses, audiobooks, and audio stories directly to your audience",Bootstrapped,2020,,,Audio Content Creator,Creator (monetize audience and fans),Yes,No,Yes,,"Computer (with internet connection), Microphone",,,,,Percentage Take Rate,30,,,,,,,,
6crickets Inc.,https://www.6crickets.com/,6cricketslogo.jpg (https://dl.airtable.com/.attachments/ab63c7cc28e5398c674f56e1ccfe04b3/7d68ebae/6cricketslogo.jpg),Teach K12 enrichment classes on any topic to students and run your teaching business efficiently with operations and marketing help from 6crickets tools and support staff.,$2M,2015,,,Teacher,SMB (creation of a business),No,No,No,,Computer (with internet connection),Experience in teaching children and passion in inspiring love of learning.,6000,,1000,Other,,"2% registration tool usage, 9-15% marketing commission",,,,,,,
Joon Care,joon.com,Horizontal_White_BG.png (https://dl.airtable.com/.attachments/6d27af54a2669c70f4c942a65f6d10b2/f6c46878/Horizontal_White_BG.png),"Joon Care is a teletherapy practice exclusively for youth and young adults ages 13-24. We are seeking trained, compassionate, skilled clinicians with experience in adolescent mental health. We provide the clients, marketing, technology, and billing support. You bring your training and expertise with youth to improve access to quality mental health care.",$3.5M,2020,,,Health,SMB (creation of a business),No,Yes,Yes,18,Computer (with internet connection),"Licensed by a state board to provide mental health counseling services (LMHC; LMFT; LCSW; PsyD; PhD; or similar) in Washington State, California or Oregon,Experience in counseling with adolescents and young adults ages 13-24,Training in using evidence-based practices including cognitive-behavioral therapy,Reliable internet connection and own computer for provision of teletherapy.",1500,,12,Free,,,,,,,,,
Outdoorsy,https://www.outdoorsy.com,outdoorsy-logo.svg (https://dl.airtable.com/.attachments/2163dd4fa3ee6c0fedf2cb4acb08c21b/d991d453/outdoorsy-logo.svg),"Rent out your RV, trailer, campervan, tent on a car, etc. to others!",$88M,2015,,,Rentals,Rentals,No,Yes,No,25,"Computer (with internet connection),Smartphone (with data)","RV, trailer, campervan, etc.",2000,,200000,Percentage Take Rate,20,,,,,,,,
The Quiver,https://thequiver.com,Quiver Logo Black.png (https://dl.airtable.com/.attachments/e7784dc123505753b61d864b951e700d/2f3dcf8b/QuiverLogoBlack.png),"Rent a board anywhere, get paid to share yours. Quiver is the largest & most trusted online marketplace to rent and share surfboards, stand-up paddleboards and more.",Bootstrapped,2015,,,Rentals,Rentals,No,No,No,,"Computer (with internet connection),Smartphone (with data)","Surfboard,Stand-up Paddleboard,Surf Gear
",,,,Percentage Take Rate,10,,,,,,,,
AirGarage Space Force,https://airtable.com/shr1wOWS7hqm2xKpC,AirGarage Space Force Large.png (https://dl.airtable.com/.attachments/66534abe2e4d90503611f7b2d0daa8f8/7b814ae3/AirGarageSpaceForceLarge.png),"Enforce against illegal parking across the AirGarage network of parking lots. In the app, enforcers use their camera to scan a license plate and then take the appropriate action based on the status of that vehicle.",Bootstrapped,2018,,,Tasks and Services,Gig (work on your time),No,Yes,No,,Smartphone (with data),Phone should be either Android or iOS,400,,50,Free,,"The pay is $0.25 per scan, $0.50 per note left and $40 per car immobilized. So you can earn as much as you want to buy scanning as many cars as you want.",,,,,,,
Happily,https://happily.io,happily-gradient-logo-150w (1).png (https://dl.airtable.com/.attachments/3f761e2b9050826d96f18e1044ce3886/d4358074/happily-gradient-logo-150w1.png),"Join a team of event producers, live streaming engineers, backstage managers, creative directors, graphic artists, and more to create some of the most ambitious and fun virtual event campaigns.",Bootstrapped,2007,,,Event Organizer,Freelance / project-based work,No,Yes,Yes,,"Computer (with internet connection),Smartphone (with data)",Please use speedtest.net and confirm you have 5+ mbps upload and 20+ mbps download minimum. ,,,,,,,,,,,,,
Sutra,https://www.sutra.fit/,Sutra Logo-white-square.png (https://dl.airtable.com/.attachments/abcb9a26b76868005e13600dcc28a816/41ab8daf/SutraLogo-white-square.png),"Run your entire fitness/wellness business in one place. Teach live classes (online or socially distanced), sell on-demand content, offer courses, programs + 30-day workout challenges, offer 1x1s and private workouts, more.",Bootstrapped,2020,,,Fitness Instructor,Creator (monetize audience and fans),Yes,No,Yes,,"Computer (with internet connection),Smartphone (with data)",,,,,Other,,"8% Starter, $25 + 3% Sutra Pro, $50 + 3% Sutra Premiere",,,,,,,
Peerspace,https://www.peerspace.com,ps-logo-dark.png (https://dl.airtable.com/.attachments/f5cabb78d890269bb171e0a0ec916783/68fd7388/ps-logo-dark.png),"Earn money by renting your property by the hour for meetings, events, and film and photo shoots. You can earn from almost any type of space, including homes, offices, warehouses, film and photo studios, event venues, and more. With over 15,000 active spaces, Peerspace is the largest marketplace for hourly bookings, and top hosts earn over $100,000 per year.",$34.8M,2014,,,Rentals,Rentals,No,No,No,,"Computer (with internet connection),Smartphone (with data)","A property where you can host meetings, events, and film and photo shoots. ","Top hosts earn over $100,000 per year.",,,Free,,,,,,,,,
Handy,https://handy.com,handy (https://dl.airtable.com/.attachments/f49cc5fcb05fdc7b37ff40aba99e2fef/1f49c311/handy),"Workers can offer home services (cleaning, furniture assembly, TV mounting, interior painting, hanging pictures and shelves, window treatment, etc.)",$117M,2012,,,Tasks and Services,Gig (work on your time),No,Yes,No,18,,"Must have paid experience with the services you are applying for,Must be authorized to work in the country you are applying in,Must have excellent customer service skills",4800,,50000,Free,,,,,,,,,
The Mango Jelly,https://themangojelly.com,2.png (https://dl.airtable.com/.attachments/55a7f191ca2361fdb7739354096a0f6c/f1fe364b/2.png),"Create marketing content for brands and earn rewards. Many businesses are looking for your unique perspectives and ideas. Share your creative ideas on content like artwork, captions, videos and blog posts.",Bootstrapped,2020,,,Content Creator,Creator (monetize audience and fans),Yes,No,Yes,,"Computer (with internet connection),Smartphone (with data)",,40,,1000,Free,,,,,,,,,
Xperiencify,xperiencify.com,,"Online course platform for coaches, teachers, trainers, educators, etc",Bootstrapped,2020,,,"Teacher, Video Course Creator",Creator (monetize audience and fans),Yes,No,Yes,,Computer (with internet connection),,1000,,1000,Other,,"Launch plan - $49/month + 4.9% fee,Growth plan - $149/month,Scale plane - $499/month",,,,,,,
Stereotheque,https://www.stereotheque.com,Stereotheque_logo_pink-01.png (https://dl.airtable.com/.attachments/a5b6eedfc88c421acb3575aead400376/2bedfe5a/Stereotheque_logo_pink-01.png),"Work on creative projects with on-demand teams, managing payments and project deliverables all from one single easy-to-use tool.",Bootstrapped,2016,,,Content Creator,Creator (monetize audience and fans),No,No,Yes,,Computer (with internet connection),"Creative skills,Project portfolio",200,,1400,Other,,"20% take rate, premium account holders for $15/month",,,,,,,
Meowtel,https://meowtel.com/,,"Meowtel connects busy cat parents with trusted and insured cat sitters, bringing the purrfect hospitality to U.S. cat parents. Customers can book a sitter for drop-in visits and overnight stays in their home.",$0.1M,2015,,,Pet Caretaker,Gig (work on your time),No,Yes,No,18,"Smartphone (with data),Animal Care Experience",,4000,,,Other,,"30% commission for any client from whom you have earned $0-$299.
25% commission for any client from whom you have earned between $300-$999.
20% commission for any client from whom you have earned between $1,000-$2,999.
15% commission for any client from whom you have earned over $3,000.",,,,,,,
FrontWork,https://frontwork.dev,Logo - Righteous.png (https://dl.airtable.com/.attachments/de7977660c53d25888ef89099ab6aec8/e252e102/Logo-Righteous.png),Get paid for your engineering skills and convert designs to code.,Bootstrapped,2020,,,Tech,Freelance / project-based work,No,Yes,Yes,,Computer (with internet connection),Frontend developer,7500,,120,Free,,,,,,,,,
Papa,https://www.joinpapa.com/,,"Get connected with senior citizens to provide companionship and assistance. Help families with car rides, house tasks, and tech lessons, while providing companionship.",$31.2M,2017,,,Health,Gig (work on your time),No,Yes,No,18,"Smartphone (with data), Background Check","Smartphone (with data),Targeted at college students but open to anyone",4000,,,Free,,,,,,,,,
Aspen RxHealth,https://aspenrxhealth.com/for-pharmacists/,,Get connected with patients in need of enhanced medical and pharmaceutical services. Provide care from anywhere.,$9M,2018,,,Health,SMB (creation of a business),No,Yes,Yes,,"Computer (with internet connection),Smartphone (with data)",Must be a egistered pharmacist,,,4500,Other,,One-time $75 credentialing fee,,,,,,,
Worksome,https://www.worksome.com/,logo-high-trans-blue.png (https://dl.airtable.com/.attachments/1cd1e68da958aab843e0df75ec118447/e2eea53a/logo-high-trans-blue.png),"An AI-powered platform for freelancers to find jobs in areas like web development, app development, tech/data consulting, engineering, management, design, marketing, and sales.",$5.9M,2017,,,Tech,Freelance / project-based work,No,Yes,Yes,,Computer (with internet connection),Tools to complete desired freelance work,,,,Percentage Take Rate,4,,,,,,christian@worksome.com,You can set your own hourly rate,
onPodio,onpodio.com,onPodio Logo (blue text & transparent).png (https://dl.airtable.com/.attachments/c9e1cecc8558d2ddb5f9bcf994bae50e/e42ec285/onPodioLogobluetexttransparent.png),"Build your own scalable fitness instruction business. You will have all the digital tools needed to create a custom website + automate their class bookings, payments, memberships, class packs, on-demand content, and more.",Bootstrapped,2019,,,Fitness Instructor,SMB (creation of a business),Yes,No,Yes,,"Computer (with internet connection),Smartphone (with data)","Equipment as necessary for teaching fitness classes (e.g. yoga mat, weights)",,,250,Other,,Customers pay a 49c + 3% booking fee.,,"onPodio is empowering ANY fitness instructor to be a successful entrepreneur by eliminating the technology barrier and giving instructors the digital tools they need to start, run and grow their own scalable business",Kal Jamshidi,,kal@onpodio.com,,
Comonetize,https://www.comonetize.me/,COMO_HAT (2).png (https://dl.airtable.com/.attachments/ee377a3ce1d86193bc35709540a3aa81/db9088a3/COMO_HAT2.png),"A monetization tool that empowers community leaders to move to the next level and turn their communities into professional, profitable businesses. You can create a branded website- with a directory of community members and a job/project board- to offer to community members.",Bootstrapped,2019,,,Community Leader,SMB (creation of a business),Yes,No,Yes,,Computer (with internet connection),An active and vivid community of professionals or businesses usually works best,2000,,,Other,,"Start free, 9$ per 400 registered users, platform fees.",,"About ten years ago, I launched a local marketplace of talents with a unique business model, which has been my main and stable income channel ever since. I fought on this battlefield, bringing my own community from zero to 100K members, and with this experience, I've created Comonetize, a platform for community leaders to do what I did - make money and turn their communities into profitable businesses while giving huge value to their community members. We're here to help you every step of the way",Gali Meiri,https://twitter.com/galimeiri,gali@comonetize.me,,
Rev,www.rev.com,Rev Logo.jpg (https://dl.airtable.com/.attachments/78bb66cf67e7fc23e83f9dd1063b59f2/fa5d2091/RevLogo.jpg),"Transcribe audio to text, caption video content, and subtitle English content with foreign languages.",$35M,2011,,,Tasks and Services,Gig (work on your time),No,Yes,Yes,,"Computer (with internet connection), Native English",Translation skills,245,,50000,Free,,,,,,,,,
Eventbrite,www.eventbrite.com,logo-wordmark-orange.png (https://dl.airtable.com/.attachments/fbd03ba2087f8634afa8ece88b01950a/0e5b90ac/logo-wordmark-orange.png),"Grow and cultivate your community while building your events businesses through Eventbrite — a global self-service ticketing platform. The platform supports both virtual and in-person events, providing creators with one home base for managing their program of events.",Public Company,2006,,,Event Organizer,SMB (creation of a business),Yes,No,Yes,,Computer (with internet connection),Ability to host live or virtual events,,,949000,Other,,Essentials pricing is 2% + $0.79 per paid ticket & Professional pricing is 3.5% + $1.59 per paid ticket. Both packages are always free for free tickets.,,,,,tamara@eventbrite.com,,
ScrollStack,https://scrollstack.com/signup,B39BE988-1EF7-4A74-A58E-F448DF1738F1.png (https://dl.airtable.com/.attachments/0b459e29a7b15e82ec2502598bb94d6e/d0af71ac/B39BE988-1EF7-4A74-A58E-F448DF1738F1.png),"Publish your writing, videos, and audio, and charge your followers for posts they are willing to pay for in less than a minute.",Bootstrapped,2020,,,"Content Creator, Writer",SMB (creation of a business),Yes,No,Yes,13,"Computer (with internet connection),Smartphone (with data)",,,,,Free,,,,"Scrollstack is a marketplace for creators to post articles, podcasts, photos, and videos. Whether free or charged and anywhere in the world, we've designed our platform to be a mobile-first and multilingual experience for creators and their fans. Our goal is to payment-enable every creator who wants to charge for their work in the way they want to charge for it. We have a widely recognized brand among creators and discerning audiences with a monthly reach of 10 MM",Samir Patil,https://twitter.com/samirpatil,samir@scrollstack.com,,
Airschool,airschool.com,logo.png (https://dl.airtable.com/.attachments/17fe0dc48b089b9159d15d1a1fcf33b2/80a08490/logo.png),"Airschool makes it simple for experts to create, sell and scale courses, build an audience and make money.",Bootstrapped,2020,,,"Video Course Creator, Content Creator",SMB (creation of a business),No,No,Yes,,no comp?,"Knowledge that can be turned into a course, video creating skills",500-5000,,100,Percentage Take Rate,20,,,"Experts and learners are joining Airschool for the content but are staying for the community of it. Each course batch has online meetups, networking events and office hours with experts. Learners from 35 different countries have taken our courses — we are just getting started",Fatima Rizwan,https://twitter.com/fatimarizwan,fatima@airschool.com,,
Vurbl,https://vurbl.com/,vurbl_vertical_logo.png (https://dl.airtable.com/.attachments/edf9ed1666153e3348ad7a4fab133c95/a0b65781/vurbl_vertical_logo.png),"Audio creators of all stripes will find a new home on Vurbl. Claim your podcast station via RSS feed, upload the audio from your YouTube Channel's videos or upload natively to host your audio for free. You will need to build an audience to earn podcast ad revenue.",$1.3M,2020,,,Podcaster,SMB (creation of a business),Yes,No,Yes,13,"Computer (with internet connection), Microphone",Audio editing tools,,,,Free,,,,,,,paul@vurbl.com,,
Podcast Rental,https://www.podcastrental.com/,podcast rental logo.png (https://dl.airtable.com/.attachments/d9a3c205d33dd73f9baad6d048a1ce0a/9efe4f98/podcastrentallogo.png),Earn revenue by listing your own podcast studio/recording space for people to discover,Bootstrapped,2019,,,Rentals,SMB (creation of a business),No,Yes,Yes,,,A podcasting / recording studio to rent out,,,,Percentage Take Rate,,Monthly listing fee,,,,,paul@podcastrental.com,,
Off Script,offscript.io,offscript_black.png (https://dl.airtable.com/.attachments/c5e342cd59da67b8c3442b6670b8f08c/299c5d9e/offscript_black.png),"Off Script is the best way for creators to set up their very own multibrand e-commerce, sell products they love from amazing DTC-brands, and help their community find new favorites.",Bootstrapped,2020,"Stockholm, Sweden",Europe,Ecommerce,SMB (creation of a business),Yes,No,Yes,,Smartphone (with data),,,,,Free,,,,,,,pontus@offscript.io,Creators paid up to 18% commission on sales,
iFans,https://ifans.com,Final-iFans-Logo.png (https://dl.airtable.com/.attachments/101b017dbc348ae21ec284fb55bb40c9/ffaabe23/Final-iFans-Logo.png),"With iFans, you can monetize not only your audience, but your Network with premium content, 1-on-1 interactions, live video streams, and more.",$0.6M,2020,,,"Content Creator, Adult Content Creator",SMB (creation of a business),Yes,No,Yes,18,"Computer (with internet connection),Smartphone (with data)",,20000,,400,Percentage Take Rate,20,,,,,,simon@ifans.com,,
