name,website,companyLogo,description,funding,founded,headquarteredIn,geographicalFocus,typeOfWork,category,requiresDigitalAudience,applicationRequired,remoteWork,minimumAge,equipmentQualSkills,requirements,averageEarnings,timeToFirstDollar,numPeopleMakingMoney,profitModel,profitModelDescription,platformPricing,affiliateLink,founderMessage,founderName,founderTwitter,email
Buy Me a Coffee,https://www.buymeacoffee.com/,,"A simple, meaningful way to fund your creative work. Accept donations, start a membership, and sell anything you like.",$1M,2018,,,Content Creator,,Yes,No,,18,,Internet and a device to interact with your fans.,,,,Other,,5% transaction fee,,,,,
Linktree,linktr.ee,,"Build a microsite housing links to your online ecosystem - making it easier than ever to connect with your audience, wherever they are. From Selena Gomez, Jessica Alba and Arnold Schwarzenegger, to big brands like HBO and Red Bull, the world's biggest influencers, creators, publishers and brands use Linktree to connect followers and their products.",$55.7M,2016,"Melbourne, Australia",Worldwide,"Content Creator,E-commerce,Event Organizer,Community Leader,Fitness Instructor,Gamer,Other,Salesperson,Livestreamer,Podcaster,Video Course Creator,Writer",,Yes,No,,18,,Computer and internet connection,0,,10000000,Other,,Plans range from free to $6/month. Enterprise pricing available!,https://linktr.ee/?utm_source=partnerships&utm_medium=referral&utm_campaign=Side_Hustle_Substack&utm_content=campaign&utm_term=CTA1,"In the last four years, we’ve watched users transform how they use their Linktrees, from fully replacing their website with our microsite, as a business card, in email signatures, and as a general aggregator to direct their online audiences to. From the beginning we’ve been focused on creating a company cut from a different cloth.",Alex Zaccaria,https://twitter.com/alexzac?lang=en,jessica@linktr.ee
Crowdstack,crowdstack.com,,"Crowdstack is an engagement platform that you can monetize.  Your brand, your rules, your data. Built-in premium membership system offers a turnkey way to monetize your community. Section off a VIP area for paid members or designate the entire community. Some of our customers are generating $1,000s of dollars a month. ",Bootstrapped,1998,,,Community Leader,Creator (monetize audience and fans),Yes,No,Yes,,Computer (with internet connection),A community (or plans to build one!),1000,,,Subscription fee,49,,,,,,
Ko-fi,ko-fi.com,,"Creators make an income by asking fans of their content to donate, subscribe or buy (1:1 services or products) from them on their Ko-fi page. ",Boostrapped,2017,,,Content Creator,Creator (monetize audience and fans),Yes,No,Yes,,"Computer (with internet connection),Smartphone (with data)",An ability to produce creative content in any format.,,,30000,Other,,"Freemium, 0% on donations, 5% or $6 per month for pro features",,,,,
Handstamp,https://www.gethandstamp.com/,,"Create, plan, and share events in just a couple of taps. Add Venmo, Patreon, Zoom, Eventbrite, and many more details to every event. No login required to attend. ",Bootstrapped,2019,,,Event Organizer,SMB (creation of a business),Yes,No,Yes,,"Computer (with internet connection),Smartphone (with data)",Events to host,,,,Free,,,,,,,
Jam,https://pro.jam.systems,,"Use Jam audio rooms to organize events, meetups, conferences, workshops and charge for access or related materials.",Bootstrapped,2021,"Vienna, Austria",Worldwide,Audio Content Creator,Creator (monetize audience and fans),No,No,Yes,,"Computer (with internet connection),Smartphone (with data)",,,1,100,Free,,,,"Creators from all around the world use audio rooms on Jam to engage with their audience, to organize workshops, for community building and to earn money. I can't wait what you will do!",,,
Wordpress,https://wordpress.com/,,"Get creative with blogging and earn money on WordPress by monetizing blog content, creating a paid membership website, selling products or services, or accepting donations.",$697.9M,2000,,,Writer,SMB (creation of a business),Yes,No,Yes,13,Computer (with internet connection),,,,,Other,,Plans range from free to $45/month,,,,,
Ribbon,https://ribbonexperiences.com/,,Easily offer tickets to your online events and sell recorded content.,$1.3M,2020,,,"Event Organizer, Video Content Creator",SMB (creation of a business),Yes,No,Yes,,Computer (with internet connection),,,,,Other,,Plans range from $0 to $60/month,,,,,
Creator Cash,https://creator.cash,,"Monetize courses, events, shoutouts, digital downloads, and so much more. Start selling your talent, expertise, or clout for free! You can also use Creator Cash to access your AdSense earnings and track advanced analytics. ",$4M,2020,"San Francisco, CA",North America,Content Creator,Creator (monetize audience and fans),No,No,Yes,,"Smartphone (with data),Bank Account",,,,2,Free,,,,,,,kristle@channelmeter.com
Unstack,https://www.unstack.com/,,"Launch and grow your business in minutes, not months, with Unstack's no-code website builder and content management system",$0.75M,2019,"Boston, MA",Worldwide,Other,,No,No,,,,"Laptop, internet connection",0,,0,Other,,Plans range from free to $99/month,,,,,ceillie@unstack.com
Intro CRM,https://introcrm.com/,,"Intro CRM is a business tool for side hustles, freelancers, and early stage founders.",Bootstrapped,2019,,,Other,,No,No,,,,,,,,Other,,"Plans vary based on how much sales help you might need! The leasat expensive tier, ""Self-guided"" starts at $25/month and $250/job",,"IntroCRM is a simple CRM that helps with deal tracking and forecasting your cashflow and has additional integrations with sites like Gumroad, Patreon, and Shopify on the roadmap! We help take sales off of your plate!",Harris Kenny,https://twitter.com/harriskenny,support@introcrm.com
CrossCollab,http://crosscollab.co/,,"CrossCollab helps OnlyFans creators find shoutouts for shoutouts and promos that actually work. Filter creators with similar percentages, body types, kinks, and many more filters (including a filter for showing face). As a creator, you can see Promo to other creators: just add what you're offering (Pin post, MassDM, bundles, etc) and other creators looking for promo can find them. We don't take a commission from your sales!",Bootstrapped,2021,"Amsterdam, Netherlands",Worldwide,,,,,,18,,,,,,Free,,,,,,,team@crosscollab.co
